Data,Hora,TEMP(C),UR (%)
26/08/2020,19:00,21.9,
26/08/2020,20:00,20.8,
26/08/2020,21:00,19.1,
26/08/2020,22:00,18.1,
26/08/2020,23:00,17.3,
26/08/2020,24:00,16.5,
27/08/2020,01:00,15.9,
27/08/2020,02:00,15.5,
27/08/2020,03:00,15.0,
27/08/2020,04:00,14.1,
27/08/2020,05:00,13.6,
27/08/2020,06:00,12.5,
27/08/2020,07:00,11.5,
27/08/2020,08:00,15.5,
27/08/2020,09:00,19.1,
27/08/2020,10:00,22.0,
27/08/2020,11:00,24.0,
27/08/2020,12:00,25.8,
27/08/2020,13:00,27.3,
27/08/2020,14:00,28.3,
27/08/2020,15:00,28.6,
27/08/2020,16:00,28.8,
27/08/2020,17:00,28.4,
27/08/2020,18:00,26.5,
27/08/2020,19:00,22.4,
27/08/2020,20:00,19.9,
27/08/2020,21:00,18.4,
27/08/2020,22:00,17.1,
27/08/2020,23:00,16.4,
27/08/2020,24:00,15.7,
28/08/2020,01:00,15.2,
28/08/2020,02:00,14.8,
28/08/2020,03:00,15.0,
28/08/2020,04:00,15.0,
28/08/2020,05:00,13.5,
28/08/2020,06:00,12.9,
28/08/2020,07:00,12.6,
28/08/2020,08:00,17.5,
28/08/2020,09:00,22.0,
28/08/2020,10:00,24.1,
28/08/2020,11:00,26.3,
28/08/2020,12:00,27.9,
28/08/2020,13:00,29.2,
28/08/2020,14:00,30.0,
28/08/2020,15:00,30.8,
28/08/2020,16:00,30.7,
28/08/2020,17:00,30.5,
28/08/2020,18:00,27.5,
28/08/2020,19:00,23.4,
28/08/2020,20:00,21.4,
28/08/2020,21:00,19.6,
28/08/2020,22:00,18.9,
28/08/2020,23:00,18.1,
28/08/2020,24:00,17.1,
29/08/2020,01:00,16.6,
29/08/2020,02:00,16.2,
29/08/2020,03:00,15.6,
29/08/2020,04:00,15.0,
29/08/2020,05:00,14.6,
29/08/2020,06:00,14.0,
29/08/2020,07:00,13.9,
29/08/2020,08:00,18.8,
29/08/2020,09:00,23.0,
29/08/2020,10:00,25.2,
29/08/2020,11:00,27.2,
29/08/2020,12:00,28.6,
29/08/2020,13:00,29.7,
29/08/2020,14:00,30.1,
29/08/2020,15:00,30.9,
29/08/2020,16:00,30.7,
29/08/2020,17:00,30.5,
29/08/2020,18:00,28.0,
29/08/2020,19:00,23.8,
29/08/2020,20:00,21.7,
29/08/2020,21:00,20.3,
29/08/2020,22:00,19.4,
29/08/2020,23:00,18.8,
29/08/2020,24:00,17.6,
30/08/2020,01:00,16.8,
30/08/2020,02:00,16.2,
30/08/2020,03:00,15.6,
30/08/2020,04:00,15.0,
30/08/2020,05:00,14.5,
30/08/2020,06:00,14.1,
30/08/2020,07:00,14.1,
30/08/2020,08:00,19.2,
30/08/2020,09:00,23.5,
30/08/2020,10:00,26.7,
30/08/2020,11:00,28.2,
30/08/2020,12:00,29.8,
30/08/2020,13:00,31.2,
30/08/2020,14:00,32.0,
30/08/2020,15:00,32.4,
30/08/2020,16:00,32.1,
30/08/2020,17:00,32.1,
30/08/2020,18:00,28.8,
30/08/2020,19:00,27.3,
30/08/2020,20:00,26.1,
30/08/2020,21:00,24.4,
30/08/2020,22:00,23.1,
30/08/2020,23:00,24.6,
30/08/2020,24:00,24.3,
31/08/2020,01:00,23.3,
31/08/2020,02:00,21.5,
31/08/2020,03:00,20.2,
